Source,Target
SFO,IAH
PHX,CLT
LAX,DFW
SFO,DFW
ANC,SEA
LAX,IAH
LAX,MSP
PHX,DTW
SFO,MSP
LAS,ORD
ANC,SEA
PHX,ATL
SLC,ATL
LAX,DFW
ANC,PDX
DEN,CLT
DEN,JFK
LAS,IAH
LAS,MSP
ONT,IAH
FAI,SEA
ANC,SLC
ANC,SEA
LAS,HNL
ANC,PHX
ANC,SEA
BQN,MCO
PSE,MCO
HNL,OGG
BIS,MSP
IYK,LAX
EWR,CLT
BOS,CLT
HNL,KOA
MKE,ORD
GFK,MSP
HNL,ITO
OMA,MSP
GSO,ATL
LMT,SFO
SEA,PHX
MCO,CLT
TPA,CLT
HNL,OGG
DLH,MSP
MSP,ATL
FAR,MSP
MFE,IAH
MSY,IAH
VPS,ATL
BWI,CLT
MAF,IAH
LWS,SLC
RST,MSP
ALB,DTW
DSM,ATL
BOS,MIA
EWR,IAH
CHS,ATL
MSN,DTW
MCO,ATL
JAX,ATL
SAT,ATL
TPA,ATL
PNS,ATL
BHM,ATL
LIT,ATL
SAV,ATL
BNA,ATL
OMA,ATL
ICT,ATL
ECP,ATL
DHN,ATL
MGM,ATL
CAE,ATL
PWM,IAD
ACV,SMF
EKO,SLC
BOS,PHL
PHL,CLT
ATL,CLT
PDX,PHX
RIC,CLT
BTR,IAH
HRL,IAH
MYR,CLT
HNL,LIH
SEA,DEN
TUS,DEN
SBN,ORD
CAK,DTW
TVC,DTW
CLE,ATL
ORD,MIA
BQN,JFK
ORD,IAH
DAY,DTW
MFR,PDX
MKE,IAH
BTV,IAD
TLH,ATL
TYS,ATL
DFW,IAH
BOS,DTW
RIC,ATL
FLL,ATL
AUS,ATL
CHA,ATL
CMH,LGA
LRD,IAH
BRO,IAH
CRP,IAH
LAN,ORD
ALB,ATL
SAT,MEM
PVD,DTW
FWA,DTW
JFK,MIA
DFW,MIA
DFW,ORD
PHL,IAH
BWI,IAH
AUS,IAH
SAT,IAH
LGA,IAH
OKC,ATL
PIT,ATL
LAX,DTW
SFO,DTW
PBI,ATL
ORF,ATL
DFW,ATL
DCA,ATL
AEX,ATL
SYR,ATL
BTR,ATL
SHV,ATL
VLD,ATL
BDL,CVG
MFE,MEM
FAT,SFO
BZN,DEN
PHX,LAX
RDM,PDX
DCA,CLT
LFT,IAH
CAK,ORD
IPL,YUM
EAU,CWA
SFO,DEN
OMA,MKE
ERI,DTW
BUF,JFK
IAH,ATL
DAY,ATL
MKE,ATL
PHL,DTW
MCI,ATL
AGS,ATL
PHL,ATL
ABI,DFW
GRR,DFW
FAT,LAX
LBB,DFW
CLT,MIA
LIT,ORD
MSP,ORD
PHL,ORD
LEX,ORD
ORD,ATL
GRR,DTW
MBS,DTW
HNL,KOA
MOD,SFO
EWR,DTW
LBB,MEM
TYS,CVG
AMA,MEM
JFK,BQN
BDL,DTW
HNL,ITO
SGF,DFW
OMA,DTW
AZO,DTW
RDM,SFO
TYS,LGA
ABE,DTW
SWF,DTW
BGM,DTW
SBN,CVG
AVP,DTW
FNT,DTW
BHM,DTW
GSP,DTW
FWA,ATL
IAH,MEM
ATW,MSP
DSM,MEM
BTV,JFK
ORF,DTW
LAN,DTW
ITH,DTW
ECP,MEM
DCA,JFK
TUL,DFW
SAT,DFW
TPA,DFW
DCA,DFW
COS,DFW
OMA,DFW
LAS,DFW
PDX,DFW
ELP,DFW
BDL,DFW
MSY,MIA
AUS,ORD
ABQ,DFW
OKC,DFW
BOS,ORD
SMF,DFW
EWR,MIA
STL,DFW
IAH,MIA
BNA,MIA
SEA,ORD
IAD,MIA
LGA,MIA
DTW,MIA
ORD,DFW
DCA,ORD
SFO,DFW
LAX,MIA
LAX,ORD
SFO,MIA
PHX,DFW
AUS,DFW
SEA,LAX
ANC,FAI
SEA,LAS
FAI,ANC
SEA,ANC
BOS,JFK
SYR,JFK
RDU,BOS
JFK,MCO
RSW,JFK
BOS,MCO
BTV,JFK
OAK,LGB
FLL,LGA
LGA,FLL
TPA,BOS
ROC,JFK
MCO,JFK
FLL,JFK
JFK,SJU
CLE,IAH
CLT,IAH
MCI,IAH
SMF,IAH
OMA,IAH
PDX,IAH
SFO,IAH
DCA,IAH
IAH,EWR
ANC,MSP
SEA,SLC
CMH,ATL
RSW,ATL
PWM,ATL
JFK,ATL
IND,ATL
BOS,LGA
BOS,ATL
DCA,DTW
LGA,ATL
MCI,DTW
LAS,ATL
BWI,ATL
CLT,DTW
PDX,SLC
CVG,ATL
RDU,ATL
MDW,ATL
STL,ATL
CLT,ATL
SEA,DTW
BOS,MSP
BZN,MSP
SDF,ATL
SFO,MSP
LAS,DTW
SFO,SLC
JAX,DCA
ABY,ATL
TRI,ATL
XNA,ATL
ROA,DTW
MLI,ATL
LYH,ATL
EVV,ATL
HPN,ATL
SYR,DTW
FAY,ATL
EWN,ATL
CSG,ATL
SGF,ATL
CAK,ATL
GPT,ATL
MLU,ATL
MOB,ATL
LFT,ATL
OAJ,ATL
CHO,ATL
ILM,ATL
ROA,ATL
ROA,ORD
DTW,IAD
DAY,IAD
CMH,ORD
CAE,ORD
JFK,IAD
BMI,ATL
DEN,CVG
MDW,DEN
BOS,MKE
DTW,ATL
IND,BWI
DCA,ATL
CAK,ATL
FNT,ATL
BOS,ATL
LGA,ATL
PNS,ATL
BUF,ATL
DAY,BWI
DFW,MKE
MSP,MKE
FLL,ATL
PHF,ATL
MKE,BWI
ROC,BWI
ACY,ATL
CVG,DFW
JAN,DFW
CID,DFW
GRK,DFW
HOU,DFW
CRP,DFW
DSM,DFW
MOB,DFW
BTR,DFW
XNA,DFW
MKE,DFW
TYS,MIA
ORD,EWR
ORD,MSP
EWR,ORD
ORD,ATL
ATL,ORD
CLE,ORD
CRW,ORD
ICT,ORD
BNA,ORD
RIC,ORD
PIT,ORD
CMH,ORD
ROC,ORD
BWI,ORD
MSN,ORD
BOS,JFK
BOS,LGA
DCA,JFK
CLT,LGA
LGA,RDU
RDU,LGA
LGA,ATL
DTW,LGA
RIC,DTW
BDL,DCA
BOS,JFK
HTS,CVG
ORD,JFK
OMA,MEM
CHS,LGA
SAT,SLC
ABQ,SLC
BNA,MSP
LAS,LAX
DFW,SLC
COS,MSP
MFR,SFO
MFR,DEN
FAT,LAX
ONT,SFO
PSC,SFO
BOI,SFO
ORD,MCI
